length_url,length_hostname,length_path,length_query,length_fragment,num_dots,num_hyphens,num_underscores,num_slashes,num_equals,num_at,num_and,num_exclamation,num_space,num_tilde,has_https,has_port,has_fragment,has_query,has_digits,num_digits,num_letters,num_parameters,num_fragments,num_subdirectories,digits_ratio,letters_ratio,special_chars_ratio,directory_length_mean,suspicious_tld,label
37,19,11,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.8108108108108109,0.1891891891891892,10.0,0,legitimate
77,23,47,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,17,53,0,0,3,0.22077922077922077,0.6883116883116883,0.09090909090909091,14.666666666666666,0,phishing
126,50,20,47,0,4,1,2,5,3,0,2,0,0,0,1,0,0,1,1,19,88,3,0,2,0.15079365079365079,0.6984126984126984,0.15079365079365079,8.5,0,phishing
18,11,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.7222222222222222,0.2777777777777778,0.0,0,legitimate
55,15,33,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,2,0.0,0.8181818181818182,0.18181818181818182,15.0,0,legitimate
32,24,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.75,0.25,,0,phishing
19,12,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.7368421052631579,0.2631578947368421,0.0,0,legitimate
81,27,47,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,21,52,0,0,3,0.25925925925925924,0.6419753086419753,0.09876543209876543,14.666666666666666,0,phishing
42,34,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.8571428571428571,0.14285714285714285,,0,legitimate
104,10,86,0,0,1,10,0,6,0,0,0,0,0,0,1,0,0,0,1,8,78,0,0,3,0.07692307692307693,0.75,0.17307692307692307,27.333333333333332,0,legitimate
56,22,26,0,0,3,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,47,0,0,2,0.0,0.8392857142857143,0.16071428571428573,12.0,0,legitimate
43,16,19,0,0,2,3,0,3,0,0,0,0,0,0,1,0,0,0,1,8,26,0,0,1,0.18604651162790697,0.6046511627906976,0.20930232558139536,18.0,0,legitimate
83,14,61,0,0,1,9,0,4,0,0,0,0,0,0,1,0,0,0,1,1,67,0,0,1,0.012048192771084338,0.8072289156626506,0.18072289156626506,59.0,0,legitimate
