length_url,length_hostname,length_path,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,num_parameters,has_https,has_port,has_fragment,label
37,19,11,3,0,0,3,0,0,0,0,0,legitimate
77,23,47,1,0,0,5,17,0,0,0,0,phishing
126,50,20,4,1,2,5,19,3,1,0,0,phishing
18,11,0,2,0,0,2,0,0,0,0,0,legitimate
55,15,33,2,2,0,5,0,0,0,0,0,legitimate
32,24,1,3,1,0,3,0,0,0,0,0,phishing
19,12,0,2,0,0,2,0,0,0,0,0,legitimate
81,27,47,2,0,0,5,21,0,0,0,0,phishing
42,34,1,2,0,0,3,0,0,0,0,0,legitimate
104,10,86,1,10,0,6,8,0,1,0,0,legitimate
56,22,26,3,0,1,4,0,0,1,0,0,legitimate
43,16,19,2,3,0,3,8,0,1,0,0,legitimate
83,14,61,1,9,0,4,1,0,1,0,0,legitimate
31,10,14,2,0,0,3,2,0,0,0,0,phishing
25,16,1,2,0,0,3,0,0,1,0,0,legitimate
51,23,7,3,0,0,4,1,1,0,0,0,phishing
31,22,1,2,0,0,3,0,0,1,0,0,legitimate
50,21,22,2,0,0,5,3,0,0,0,0,phishing
34,23,4,2,0,0,4,0,0,0,0,0,phishing
27,19,1,2,0,0,3,4,0,0,0,0,legitimate
63,14,42,3,2,0,7,0,0,0,0,0,legitimate
66,16,42,2,4,0,4,0,0,1,0,0,legitimate
40,11,22,2,0,0,5,4,0,0,0,0,phishing
48,16,25,1,3,0,4,0,0,0,0,0,legitimate
126,50,19,4,1,2,4,12,3,0,0,0,phishing
41,32,1,2,0,0,3,0,0,1,0,0,phishing
36,27,1,2,0,0,3,0,0,1,0,0,legitimate
72,24,41,2,7,0,5,0,0,0,0,0,legitimate
68,42,19,4,0,0,4,11,0,0,0,0,phishing
163,14,32,4,9,0,3,65,0,0,0,0,phishing
26,18,1,2,0,0,3,0,0,0,0,0,legitimate
64,17,40,2,0,0,4,22,0,0,0,0,phishing
36,28,1,4,0,0,3,9,0,0,0,0,phishing
61,14,40,2,0,1,6,0,0,0,0,0,phishing
66,17,15,2,0,0,4,14,1,1,0,0,legitimate
35,26,1,2,0,0,3,0,0,1,0,0,legitimate
113,24,82,5,0,2,10,0,0,0,0,0,phishing
41,34,0,2,4,0,2,0,0,0,0,0,legitimate
23,12,4,2,1,0,3,0,0,0,0,0,legitimate
31,24,0,2,1,0,2,0,0,0,0,0,legitimate
84,30,47,2,2,0,7,0,0,0,0,0,phishing
29,17,5,2,0,0,3,0,0,0,0,0,phishing
98,26,65,2,2,0,9,29,0,0,0,0,phishing
15,8,0,1,0,0,2,0,0,0,0,0,legitimate
65,22,36,2,0,4,4,0,0,0,0,0,legitimate
131,27,87,2,1,4,7,4,1,1,0,0,phishing
50,23,19,2,1,0,4,0,0,1,0,0,legitimate
51,32,12,2,0,0,4,0,0,0,0,0,phishing
45,11,26,3,0,0,5,6,0,1,0,0,legitimate
159,14,51,2,0,0,8,43,2,0,0,0,phishing
44,22,14,2,1,0,4,10,0,1,0,0,phishing
103,19,4,3,1,0,4,8,1,1,0,0,phishing
46,20,19,4,0,0,5,0,0,0,0,0,phishing
45,16,21,2,0,1,4,0,0,1,0,0,legitimate
51,26,18,3,0,0,5,0,0,0,0,0,phishing
38,19,12,3,0,0,4,0,0,0,0,0,phishing
81,27,47,2,0,0,5,23,0,0,0,0,phishing
112,31,74,2,10,0,4,0,0,0,0,0,legitimate
39,16,15,2,0,0,4,0,0,1,0,0,phishing
99,15,76,2,2,2,7,8,0,1,0,0,phishing
45,27,10,2,1,0,3,0,0,1,0,0,legitimate
60,35,18,5,1,0,4,2,0,0,0,0,phishing
74,19,48,3,0,3,10,6,0,0,0,0,legitimate
61,18,36,3,3,0,4,0,0,0,0,0,legitimate
40,32,0,4,0,0,2,5,0,1,0,0,phishing
52,24,21,3,0,0,4,2,0,0,0,0,phishing
88,24,33,7,1,0,4,0,0,1,0,1,phishing
74,12,27,2,0,0,4,2,1,0,0,0,legitimate
46,16,23,2,1,1,4,3,0,0,0,0,legitimate
54,17,30,3,0,0,4,0,0,0,0,0,legitimate
54,21,26,1,1,0,6,0,0,0,0,0,phishing
38,16,14,2,0,1,4,0,0,1,0,0,legitimate
67,15,45,2,3,0,5,0,0,0,0,0,legitimate
62,13,42,5,1,0,7,0,0,0,0,0,phishing
59,17,35,3,0,0,6,4,0,0,0,0,phishing
57,38,11,4,0,0,3,1,0,1,0,0,phishing
32,12,13,1,1,0,4,0,0,0,0,0,legitimate
46,25,14,2,0,0,5,0,0,0,0,0,phishing
37,16,13,2,0,0,4,0,0,1,0,0,legitimate
36,29,0,2,0,0,2,1,0,0,0,0,phishing
52,18,27,2,0,0,7,2,0,0,0,0,phishing
32,24,1,2,0,0,3,8,0,0,0,0,phishing
34,11,15,1,0,0,3,0,0,1,0,0,legitimate
27,19,1,3,0,0,3,0,0,0,0,0,legitimate
92,22,63,2,1,0,8,28,0,0,0,0,phishing
102,12,83,2,7,0,7,6,0,0,0,0,legitimate
32,23,1,2,0,0,3,0,0,1,0,0,legitimate
29,20,1,2,0,0,3,0,0,1,0,0,legitimate
119,24,60,4,1,2,9,1,1,0,0,0,phishing
59,21,30,2,0,0,6,4,0,1,0,0,legitimate
54,19,28,2,2,0,3,0,0,0,0,0,legitimate
151,10,134,3,1,0,3,41,0,0,0,0,phishing
84,25,52,3,5,0,5,3,0,0,0,0,legitimate
55,10,38,3,1,0,6,0,0,0,0,0,phishing
18,9,1,1,0,0,3,0,0,1,0,0,legitimate
39,16,15,2,0,0,3,0,0,1,0,0,legitimate
28,19,1,2,1,0,3,0,0,1,0,0,legitimate
32,16,9,3,1,0,3,0,0,0,0,0,legitimate
16,9,0,1,0,0,2,0,0,0,0,0,legitimate
23,12,4,1,0,0,4,0,0,0,0,0,phishing
29,21,1,3,0,0,3,0,0,0,0,0,legitimate
29,20,1,2,0,0,3,0,0,1,0,0,phishing
41,15,18,2,0,0,4,0,0,1,0,0,legitimate
22,6,8,1,0,0,3,4,0,1,0,0,phishing
52,14,31,3,0,0,5,2,0,0,0,0,phishing
38,20,11,3,0,0,6,1,0,0,0,0,phishing
30,21,1,3,0,0,3,0,0,1,0,0,legitimate
76,50,19,4,1,0,4,8,0,0,0,0,phishing
430,13,10,24,0,18,21,17,10,0,0,0,phishing
37,19,11,2,0,0,3,0,0,0,0,0,legitimate
73,23,43,3,5,0,3,5,0,0,0,0,legitimate
56,15,34,2,0,0,5,6,0,0,0,0,phishing
70,13,49,1,7,0,5,0,0,1,0,0,legitimate
70,20,43,3,0,1,5,0,0,0,0,0,phishing
52,19,26,2,1,0,5,4,0,0,0,0,legitimate
31,22,1,2,1,0,3,0,0,1,0,0,legitimate
90,19,63,4,0,0,6,22,0,1,0,0,phishing
45,15,23,3,0,0,5,7,0,0,0,0,legitimate
55,20,28,3,0,1,4,2,0,0,0,0,legitimate
65,12,46,3,2,0,6,5,0,0,0,0,phishing
41,33,1,2,1,0,3,3,0,0,0,0,phishing
71,25,26,2,1,1,4,12,1,1,0,0,phishing
83,16,46,2,0,0,7,6,1,1,0,0,phishing
73,18,48,1,1,0,5,25,0,0,0,0,phishing
44,30,7,2,2,0,3,9,0,0,0,0,phishing
114,16,14,4,1,0,8,6,1,0,0,0,phishing
127,50,19,4,1,2,4,20,3,1,0,0,phishing
99,20,4,4,0,0,4,7,1,0,0,0,phishing
56,20,29,2,1,0,7,0,0,0,0,0,phishing
51,17,26,3,0,0,4,0,0,1,0,0,legitimate
51,14,30,5,0,0,4,0,0,0,0,0,phishing
40,24,8,2,1,0,5,0,0,1,0,0,legitimate
33,14,12,3,0,0,6,0,0,0,0,0,phishing
88,20,60,2,5,0,6,0,0,1,0,0,legitimate
122,18,96,2,0,13,5,6,0,1,0,0,legitimate
53,20,26,3,0,0,4,0,0,0,0,0,legitimate
46,37,1,6,1,0,3,4,0,1,0,0,phishing
36,29,0,2,0,0,2,0,0,0,0,0,phishing
31,23,1,2,0,0,3,0,0,0,0,0,legitimate
48,16,24,2,2,0,6,0,0,1,0,0,legitimate
101,6,39,2,0,0,5,0,3,1,0,0,phishing
41,19,15,3,0,0,4,0,0,0,0,0,legitimate
43,35,1,4,0,0,3,4,0,0,0,0,phishing
15,8,0,1,0,0,2,0,0,0,0,0,legitimate
42,10,25,3,3,0,3,3,0,0,0,0,legitimate
51,15,29,1,3,0,4,0,0,0,0,0,legitimate
48,27,14,3,3,0,4,0,0,0,0,0,phishing
49,19,23,1,0,1,5,0,0,0,0,0,legitimate
25,13,1,1,1,0,3,0,1,1,0,0,phishing
49,15,26,2,2,0,5,1,0,1,0,0,legitimate
48,25,16,3,1,0,3,1,0,0,0,0,legitimate
108,25,29,4,1,0,6,4,1,0,0,0,phishing
39,20,12,2,0,0,4,0,0,0,0,0,phishing
80,20,53,4,3,0,5,0,0,0,0,0,legitimate
36,17,12,2,1,0,3,0,0,0,0,0,legitimate
28,19,1,2,1,0,3,0,0,1,0,0,legitimate
33,14,11,2,0,0,3,2,0,1,0,0,phishing
23,14,1,3,0,0,3,0,0,1,0,0,legitimate
77,18,51,2,5,0,4,0,0,1,0,0,legitimate
342,19,315,5,6,0,5,142,0,1,0,0,phishing
38,29,1,2,1,0,3,5,0,1,0,0,phishing
73,22,44,2,5,0,4,0,0,0,0,0,legitimate
33,15,10,2,0,0,4,0,0,1,0,0,legitimate
67,17,43,3,1,1,6,0,0,0,0,0,phishing
39,18,13,2,0,0,4,2,0,1,0,0,legitimate
24,15,1,2,0,0,3,0,0,1,0,0,legitimate
26,17,1,2,0,0,3,0,0,1,0,0,legitimate
39,7,24,2,0,0,6,5,0,1,0,0,legitimate
62,22,33,3,1,0,3,22,0,0,0,0,phishing
41,13,21,2,1,0,4,0,0,0,0,0,phishing
40,31,1,2,0,0,3,0,0,1,0,0,phishing
51,26,18,3,2,0,3,0,0,0,0,0,legitimate
59,12,39,2,3,0,5,4,0,1,0,0,legitimate
50,20,22,3,0,0,5,0,0,1,0,0,legitimate
52,25,20,2,1,0,4,3,0,0,0,0,phishing
43,15,21,2,1,0,4,0,0,0,0,0,phishing
94,42,45,3,4,0,5,12,0,0,0,0,phishing
60,15,38,4,0,0,4,0,0,0,0,0,legitimate
18,11,0,1,0,0,2,0,0,0,0,0,legitimate
204,27,23,2,1,3,5,27,1,1,0,0,phishing
94,24,43,7,0,0,4,15,0,1,0,1,phishing
41,33,1,4,1,0,3,0,0,0,0,0,phishing
19,11,1,2,0,0,3,3,0,0,0,0,phishing
35,22,6,2,1,0,3,1,0,0,0,0,phishing
63,26,30,3,0,0,6,0,0,0,0,0,phishing
53,21,25,2,0,0,6,4,0,0,0,0,phishing
75,44,24,4,3,0,6,0,0,0,0,0,phishing
35,27,0,2,0,0,2,4,0,1,0,0,phishing
210,14,4,4,1,0,3,14,11,1,0,0,phishing
44,13,23,1,2,0,3,0,0,1,0,0,legitimate
150,40,9,5,0,0,4,73,1,0,0,0,phishing
39,22,10,3,1,0,4,0,0,0,0,0,phishing
64,15,42,2,1,0,9,0,0,0,0,0,phishing
106,20,39,4,4,0,7,17,1,1,0,0,phishing
34,20,6,2,0,0,4,0,0,1,0,0,phishing
65,16,41,2,0,5,4,0,0,1,0,0,legitimate
60,14,39,3,1,0,8,2,0,0,0,0,phishing
